-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Please,0.084,0.0945,0.0748,0.0321,0.0445,0.1005,0.1819,0.0779,0.0508,1.0,0.1544,0.0595,0.1121,0.0843,0.0872
enter,0.1702,0.4038,0.1803,0.1781,0.135,0.1317,0.0963,0.03,0.0222,1.0,0.1667,0.0138,0.0848,0.1243,0.0591
text,0.5301,0.1173,0.0563,0.0974,0.0283,0.3249,0.0731,0.0065,0.0165,1.0,0.0034,0.006,0.0451,0.1463,0.0087
to,0.0354,0.0352,0.0006,0.0587,0.0112,0.0725,0.4528,0.0643,0.0736,1.0,0.091,0.039,0.063,0.0208,0.0526
have,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
context,1.0,0.0751,0.0684,0.0526,0.0241,0.1364,0.082,0.0951,0.129,0.0351,0.0752,0.0227,0.0909,0.0528,0.0606
based,1.0,0.13,0.0944,0.0685,0.0189,0.3386,0.0916,0.1277,0.1155,0.0412,0.0873,0.0133,0.2291,0.0388,0.1394
emojis,0.506,0.2078,0.2067,0.5201,0.0223,0.7346,0.2073,1.0,0.7135,0.1094,0.237,0.001,0.299,0.5507,0.2532
added,0.3464,0.4308,0.5785,0.011,0.1477,0.4357,1.0,0.006,0.4184,0.1537,0.2107,0.0876,0.4116,0.0383,0.0686
to,0.193,0.0042,0.0132,0.0855,0.0754,0.762,1.0,0.0761,0.0868,0.0049,0.0098,0.0473,0.017,0.041,0.061
it,0.491,0.1536,0.213,0.0658,0.0743,1.0,0.2115,0.515,0.4627,0.2819,0.0245,0.1543,0.2115,0.1916,0.2681
